Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
202100000121,1,30,,0,2,1,1,A01
202100000121,1,7,,0,2,4,23,B01
202100000122,3,7,,8,2,2,1,A01
202100000122,3,7,,0,2,6,1,B01
202100000123,1,7,,3,0,2,1,A01
202100000124,1,7,,0,2,1,1,B01
202100000124,2,7,,0,2,1,1,A01
202100000125,2,7,,0,0,3,1,A01
202100000126,2,33,,0,2,1,17,B01
202100000126,2,7,,0,2,8,15,A01
202100000127,3,39,,0,1,2,19,A01
202100000128,3,7,,0,0,1,19,A01
202100000129,0,7,,12,0,2,1,A01
202100000130,3,7,,0,2,3,1,A01
202100000130,3,50,,0,2,0,0,B01
202100000131,1,2,,0,2,1,1,B01
202100000131,1,7,,0,2,3,15,A01
202100000132,0,33,,0,0,1,26,A01
202100000133,2,34,,0,2,1,1,B01
202100000133,1,7,,0,2,2,15,A01
202100000134,2,30,,0,1,1,17,A01
202100000134,1,7,,0,2,8,23,B01
202100000135,3,36,,2,0,1,13,A01
202100000136,3,13,,0,2,2,26,A01
202100000136,3,1,,0,2,3,0,B01
202100000137,1,7,,0,2,4,1,D01
202100000137,1,7,,0,2,6,1,C01
202100000137,1,7,,12,2,5,1,B01
202100000137,1,99,,0,2,1,1,A01
202100000138,1,7,,0,1,1,1,A01
202100000139,1,2,,0,2,1,1,B01
202100000139,1,7,,0,2,5,4,A01
202100000140,2,32,,0,2,1,1,B01
202100000140,2,7,,0,2,4,9,A01
202100000141,3,2,,0,2,0,13,B01
202100000141,3,99,,0,2,3,0,A01
202100000142,1,7,,0,2,4,1,C01
202100000142,1,7,,0,2,1,1,A01
202100000142,1,7,,0,2,4,1,B01
202100000143,1,7,,0,2,7,11,A01
202100000143,1,7,,0,2,9,1,B01
202100000143,1,7,,0,2,8,1,C01
202100000144,2,7,,0,2,1,1,A01
202100000144,2,7,,0,2,4,2,B01
202100000145,2,7,,3,2,2,17,A01
202100000145,2,7,,3,2,6,1,B01
202100000146,1,7,,4,0,1,12,A01
202100000147,2,7,,16,0,1,1,A01
202100000148,2,7,,0,2,8,21,C01
202100000148,2,7,,0,2,1,1,B01
202100000148,2,7,,0,2,4,1,A01
202100000149,1,7,,4,9,1,21,A01
202100000150,2,7,,1,0,1,13,A01
202100000151,2,7,,0,2,3,13,A01
202100000151,1,7,,0,2,3,21,B01
202100000152,3,33,,0,0,4,1,A01
202100000153,1,7,,0,6,3,1,A01
202100000154,1,7,,0,1,1,15,A01
202100000155,3,30,,1,0,5,1,A01
202100000156,1,33,,0,2,0,0,B01
202100000156,1,7,,0,2,3,9,A01
202100000157,2,33,,0,2,1,1,B01
202100000157,1,7,,0,2,2,15,A01
202100000158,0,7,,0,2,5,1,B01
202100000158,0,7,,0,2,1,19,A01
202100000159,2,7,,6,0,3,13,A01
202100000160,0,10,,0,2,3,0,A01
202100000160,0,7,,0,2,3,0,B01
202100000161,3,31,,0,2,3,10,B01
202100000161,3,7,,0,2,2,17,A01
202100000162,0,1,,0,2,1,2,B01
202100000162,0,7,,0,2,2,11,A01
202100000163,1,7,,0,1,0,1,A01
202100000164,1,7,,0,1,1,1,A01
202100000165,2,7,,0,1,2,1,A01
202100000166,2,7,,0,2,2,2,C01
202100000166,2,7,,0,2,1,2,D01
202100000166,2,7,,0,2,6,2,B01
202100000166,2,7,,0,2,4,1,A01
202100000167,3,7,,0,9,3,1,B01
202100000167,3,33,,0,2,1,1,A01
202100000168,3,7,,0,2,4,23,B01
202100000168,3,7,,0,2,1,2,A01
202100000169,0,7,,0,0,9,21,A01
202100000170,2,7,,0,2,1,13,A01
202100000170,1,10,,0,2,1,21,B01
202100000171,1,2,,0,2,1,0,B01
202100000171,1,7,,0,2,3,15,A01
202100000172,2,7,,0,2,3,15,B01
202100000172,2,30,,1,2,9,17,A01
202100000173,1,34,,0,2,8,15,A01
202100000173,1,2,,0,2,3,15,B01
202100000174,2,7,,0,0,9,13,A01
202100000175,1,1,,0,0,8,1,A01
202100000176,2,7,,0,1,1,1,A01
202100000177,2,31,,0,2,1,3,B01
202100000177,1,30,,0,2,1,3,A01
202100000178,2,7,,0,2,4,23,B01
202100000178,2,7,,2,2,1,26,A01
202100000179,1,1,,0,2,8,2,A01
202100000179,1,7,,0,2,7,16,B01
202100000180,2,1,,0,2,4,1,A01
202100000180,2,7,,0,2,1,1,B01
202100000181,1,1,,0,2,1,1,B01
202100000181,2,7,,0,2,1,15,A01
202100000182,2,7,,15,0,1,1,A01
202100000183,2,33,,14,0,1,1,A01
202100000184,1,7,,2,0,3,1,A01
202100000185,2,7,,0,2,2,15,A01
202100000185,1,2,,0,0,2,1,B01
202100000186,1,7,,0,2,1,1,A01
202100000186,1,7,,0,2,4,15,B01
202100000187,0,7,,0,2,3,13,A01
202100000187,0,7,,0,2,3,1,B01
202100000188,1,7,,13,0,2,1,A01
202100000189,3,7,,0,2,1,1,A01
202100000189,3,7,,0,2,4,23,B01
202100000189,3,7,,6,2,4,23,C01
202100000190,3,99,,0,2,1,1,A01
202100000190,3,7,,0,2,3,9,B01
202100000191,0,80,,0,2,1,15,B01
202100000191,2,7,,0,2,1,15,A01
202100000192,1,7,,0,1,2,9,A01
202100000193,1,7,,0,2,3,13,B01
202100000193,2,7,,0,2,3,1,A01
202100000194,0,7,,2,0,1,15,A01
202100000195,1,39,,0,2,8,1,B01
202100000195,2,1,,0,4,0,26,A01
202100000196,2,7,,3,0,1,1,A01
202100000197,1,7,,1,1,1,25,A01
202100000198,1,7,,8,0,1,1,A01
202100000199,1,7,,0,2,4,1,B01
202100000199,1,30,,0,2,1,1,A01
202100000200,3,30,,0,1,1,18,A01
202100000201,2,7,,0,2,1,9,A01
202100000201,1,1,,0,2,3,9,B01
202100000202,2,7,,0,2,3,15,A01
202100000202,3,2,,0,2,1,1,B01
202100000203,1,1,,0,0,8,1,A01
202100000204,2,80,,0,2,7,1,B01
202100000204,2,7,,0,2,1,1,A01
202100000205,1,7,,0,2,4,1,A01
202100000205,1,10,,0,2,1,1,B01
202100000206,2,34,,0,2,1,16,B01
202100000206,2,7,,0,2,7,1,A01
202100000207,3,7,,0,2,2,1,B01
202100000207,3,33,,0,2,2,1,A01
202100000208,3,7,,3,0,1,26,A01
202100000209,1,7,,9,0,1,13,A01
202100000210,1,32,,0,1,1,0,A01
202100000211,0,7,,0,0,0,0,B01
202100000211,0,7,,8,2,3,7,A01
202100000212,1,7,,6,0,1,1,A01
202100000213,2,7,,0,1,2,2,A01
202100000214,1,7,,0,2,4,1,A01
202100000214,1,2,,0,2,1,2,B01
202100000215,3,7,,0,1,2,1,A01
202100000216,1,7,,0,2,8,23,C01
202100000216,1,7,,0,2,1,15,A01
202100000216,1,10,,0,2,7,26,B01
202100000217,3,1,,16,0,1,1,A01
202100000218,1,7,,0,2,7,16,A01
202100000218,1,1,,0,2,7,1,B01
202100000219,1,33,,0,2,1,3,B01
202100000219,1,7,,0,2,2,10,A01
